Date,Open,High,Low,Close,Adj Close,Volume
2017-11-20,53.181801,53.181801,53.181801,53.181801,53.111900,0
2017-11-21,53.181801,53.181801,53.181801,53.181801,53.111900,0
2017-11-22,53.181801,53.181801,53.181801,53.181801,53.111900,0
2017-11-23,53.181801,53.181801,53.181801,53.181801,53.111900,0
2017-11-24,53.181801,53.181801,53.181801,53.181801,53.111900,0
2017-11-27,53.636299,53.636299,53.636299,53.636299,53.565800,0
2017-11-28,54.545399,54.545399,54.545399,54.090900,54.019806,33000
2017-11-29,54.545399,55.454498,54.545399,55.000000,54.927711,27500
2017-11-30,54.619999,56.363602,54.619999,55.000000,54.927711,37020
2017-12-01,54.681801,56.363602,54.590900,55.000000,54.927711,65355
2017-12-04,56.663601,57.272701,55.909000,56.818100,56.743423,77167
2017-12-05,56.818100,58.181801,56.363602,57.272701,57.197422,274090
2017-12-06,56.363602,56.363602,55.909000,56.363602,56.289516,24324
2017-12-07,55.454498,57.045399,55.454498,56.363602,56.289516,19250
2017-12-08,56.590900,56.590900,56.590900,56.363602,56.289516,184
2017-12-11,56.590900,56.590900,55.909000,55.909000,55.835518,32610
2017-12-12,54.545399,54.545399,54.545399,55.454498,55.381611,99055
2017-12-13,56.136299,56.363602,54.545399,56.363602,56.289516,20240
2017-12-14,55.000000,56.363602,54.545399,54.545399,54.473705,28270
2017-12-15,55.982700,55.454498,55.454498,54.545399,54.473705,18136
2017-12-18,56.136299,56.136299,51.909000,54.545399,54.473705,66014
2017-12-19,52.727200,56.363602,52.727200,55.000000,54.927711,83202
2017-12-20,55.000000,55.000000,55.000000,55.000000,54.927711,0
2017-12-21,58.181801,58.181801,54.545399,55.000000,54.927711,145652
2017-12-22,54.645401,54.645401,54.645401,55.000000,54.927711,7434
2017-12-27,54.681801,55.909000,54.645401,55.000000,54.927711,36997
2017-12-28,54.181801,56.000000,54.181801,54.545399,54.473705,33354
2017-12-29,53.909000,53.909000,53.909000,54.545399,54.473705,4230
